keff: 19.2187106  error= 0.947967373
keff: 0.987615548  error= 18.45970843
keff: 0.9831200832  error= 0.004572650822
keff: 0.987764811  error= 0.004702260847
keff: 0.9904146445  error= 0.002675478933
keff: 0.9976948235  error= 0.007296999874
keff: 0.9969769732  error= 0.0007200269041
keff: 0.9990905595  error= 0.002115510139
keff: 0.9986927883  error= 0.0003982918554
keff: 0.999477065  error= 0.0007846871276
keff: 0.9992242523  error= 0.0002530090558
keff: 0.9997534104  error= 0.0005292887067
keff: 0.9996129373  error= 0.0001405275136
keff: 0.9998993185  error= 0.00028640999
keff: 0.9998145853  error= 8.474887757e-05
keff: 1.000001829  error= 0.0001872432211
keff: 0.9999600599  error= 4.177059739e-05
keff: 1.000041937  error= 8.187373024e-05
keff: 1.000012152  error= 2.978471416e-05
keff: 1.000065514  error= 5.335893563e-05
keff: 1.000040599  error= 2.491434166e-05
keff: 1.000088663  error= 4.805955117e-05
keff: 1.000071245  error= 1.741689481e-05
keff: 1.000099234  error= 2.798599046e-05
keff: 1.000087477  error= 1.17551199e-05
keff: 1.000105225  error= 1.774596747e-05
keff: 1.000098037  error= 7.187509806e-06
Final keff: 1.000098037
