keff: 1.510381838  error= 0.3379157675
keff: 0.5049732501  error= 1.991013559
keff: 0.3288060892  error= 0.5357782796
keff: 0.214594282  error= 0.5322220434
keff: 0.1962578672  error= 0.09343021521
keff: 0.1838339201  error= 0.06758245219
keff: 0.1818751887  error= 0.01076964607
keff: 0.1805654388  error= 0.007253602137
keff: 0.1803336811  error= 0.001285160781
keff: 0.1801634922  error= 0.0009446357744
keff: 0.1801317196  error= 0.0001763851473
keff: 0.1801147709  error= 9.409951927e-05
keff: 0.1801118536  error= 1.619707346e-05
keff: 0.1801103619  error= 8.282168707e-06
